,Clase.Original,Clase.LSTM,Certeza.Maxima,pr.intrusion,pr.reparacion,pr.marketing,pr.visitada,pr.sin_realizar,pr.seguridad,pr.ok_equipo,pr.sin_tarea,texto
10,intrusion,intrusion,"0,8718175292",[0.8718175],[0.09531168],[0.014918431],[0.0009549216],[0.0059335763],[0.009069739],[0.0018849531],[0.00010917795],[' se realiza instalacion de medidor monofasico cliente manifiesta que se lo robaron y tiene un plan de pagos activo se retira directo de linease instala caja trampa']
11,reparacion,marketing,"0,4426546395",[0.025604932],[0.026027627],[0.44265464],[0.12458041],[0.07348457],[0.29095078],[0.0042219833],[0.012475036],[' tapa rota']
12,intrusion,intrusion,"0,9929511547",[0.99295115],[0.001889104],[0.0035510587],[1.2025914e-05],[0.0013743303],[0.00014212953],[3.471739e-05],[4.5435645e-05],[' fraude clandestino en el habitaculose retira conexion clandestina']
13,ok_equipo,marketing,"0,7328543663",[0.023106469],[0.04674344],[0.73285437],[0.07831536],[0.013163015],[0.012814673],[0.019296754],[0.07370594],[' se verifica medidor sin anomalias']
14,ok_equipo,marketing,"0,5945905447",[0.12525536],[0.18277825],[0.59459054],[0.04216858],[0.009903715],[0.01725864],[0.020517247],[0.00752767],[' falta caño de pilar']
15,ok_equipo,marketing,"0,4520334899",[0.014967214],[0.41801718],[0.4520335],[0.06012746],[0.0018491502],[0.009340662],[0.041545305],[0.0021195153],[' medidor sin acometida caño de acometida obstruido lugar desocupado']
16,ok_equipo,visitada,"0,6725087166",[0.011563545],[0.11272182],[0.15254928],[0.6725087],[0.00058887695],[0.046894718],[0.0027826065],[0.00039040498],[' verifica completa sin anomalias habitaculo lindero con directa pero sin fusible ni carga termica baja se corto directa']
17,intrusion,marketing,"0,7309787869",[0.01746873],[0.02744228],[0.7309788],[0.0882449],[0.019792087],[0.02044655],[0.017657587],[0.077969044],[' rehabilitadonormalizado']
18,intrusion,sin_realizar,"0,8764920235",[0.061230216],[0.000929569],[0.011216914],[0.00044227074],[0.876492],[0.049116228],[0.00013248637],[0.00044029407],[' se verifico y se encontro el medidor gospeado se cambia el medidor y se instala la caja antihurto']
19,ok_equipo,seguridad,"0,8525094986",[0.00042434112],[0.0013328466],[0.051374707],[0.08668866],[0.0073548434],[0.8525095],[9.39669e-05],[0.00022114796],[' se realizo inspeccion completa verificacion interno sitio cambio de tapa y verificacion ocular de medidores linderos']
20,reparacion,marketing,"0,5214828849",[0.056650713],[0.10420813],[0.5214829],[0.03691246],[0.12405166],[0.10944945],[0.02216002],[0.025084635],[' se cambia medidor por pedido de la empresa ver fotos tapa']
21,reparacion,sin_realizar,"0,9485350847",[0.025413616],[0.0021450112],[0.012747876],[0.0002731563],[0.9485351],[0.0075375154],[0.001669412],[0.0016782891],[' se cambio medidor monofasico con bornera quemada no encontro anomalias ']
22,ok_equipo,visitada,"0,5470853448",[0.006557477],[0.017582038],[0.35434037],[0.54708534],[0.0070899623],[0.048434015],[0.0039982223],[0.014912628],[' normal']
23,reparacion,sin_realizar,"0,4228460789",[0.19116348],[0.012318678],[0.258547],[0.010758803],[0.42284608],[0.09161621],[0.0019879946],[0.010761836],[' se realizo inspeccion y se cambio medidor ']
24,ok_equipo,marketing,"0,3619295657",[0.044792503],[0.1643605],[0.36192957],[0.14948194],[0.005031502],[0.26759684],[0.0062577757],[0.0005493915],[' sistemas r s y t con cargas insuficientes para calculo conexionado y continuidad bien se coloco tapa con ventana recuperada por falta de stock ']
25,seguridad,seguridad,"0,9725281",[0.00045689775],[0.0005493489],[0.010778412],[0.009322083],[0.006299284],[0.9725281],[1.5002903e-05],[5.0992967e-05],[' tapa se cambio acometida deficiente em lindero se verifico medidor se cambia acometida deficiente se normalizo suministroacometida deficiente']
26,intrusion,marketing,"0,4426546395",[0.025604932],[0.026027627],[0.44265464],[0.12458041],[0.07348457],[0.29095078],[0.0042219833],[0.012475036],[' tapa rota']
27,ok_equipo,reparacion,"0,5760431886",[0.015976466],[0.5760432],[0.15494403],[0.0028783747],[0.001078301],[0.0007871065],[0.24330753],[0.004984986],[' en el lugar usan medidor en el lugar se encontro medidor cliente regularizo situacion y le pusieron este medidor']
28,intrusion,intrusion,"0,9994441867",[0.9994442],[0.000114133996],[0.0001381206],[3.3043486e-07],[0.00028959365],[6.673132e-06],[4.7489934e-06],[2.1334306e-06],[' se realizo inspeccion y se confecciono acta por fraude medidor funcionamiento fase por fase']
29,reparacion,intrusion,"0,9860053062",[0.9860053],[0.0035695797],[0.006291199],[5.1760355e-05],[0.002355908],[0.001631059],[8.076087e-05],[1.4341277e-05],[' r sin fraude convencional se realizo verificacion completa se precinto carcasa de medidor rw se cambio tapa monofasica']
30,reparacion,sin_realizar,"0,9801453352",[0.014697035],[0.00019452588],[0.0018599136],[3.1502404e-05],[0.98014534],[0.0026120313],[0.00017902954],[0.00028066037],[' se verifico medidor monofasico con disco trabado se observa integridad de precintos por falla mecanica se cambio medidor monofasicotapa opaca']
31,reparacion,seguridad,"0,991106689",[7.119507e-05],[7.4268624e-05],[0.0015140853],[0.0056174546],[0.0016079679],[0.9911067],[1.6626761e-06],[6.715177e-06],[' se realizo inspeccion completa de medidor el mismo se encontro normal sin uso se cambio acometida deteriorada cambio de marco tapa y termomagnetica']
32,intrusion,marketing,"0,6649525166",[0.14627886],[0.035862613],[0.6649525],[0.037767738],[0.03416867],[0.027416136],[0.0076087695],[0.045944687],[' fraude']
33,seguridad,seguridad,"0,948912859",[0.0011131214],[0.0011485618],[0.022041338],[0.008315526],[0.01822914],[0.94891286],[4.0465442e-05],[0.00019900188],[' se verifica me sin tapa bornera y con carga de amperes al momento de la inspeccion se aplico carga propia medidor integra se repuso tapa y se dejo precintado fotostapa de bornera faltante']
34,seguridad,seguridad,"0,9052829742",[0.0014936036],[0.005240145],[0.045478765],[0.022956103],[0.018870484],[0.905283],[0.0002963576],[0.00038146888],[' se cambio tapa y se verifico medidor normal por tener bajada en el mismo caño compartido con vecino tapa']
35,reparacion,sin_realizar,"0,9432022572",[0.0048343698],[0.0009955595],[0.009698212],[0.0010006258],[0.94320226],[0.03940826],[0.00032204165],[0.0005386467],[' se cambio medidor monofasico quemado dejando al cliente normal']
36,seguridad,seguridad,"0,5662044883",[0.01210346],[0.008616811],[0.17767733],[0.040953904],[0.18953796],[0.5662045],[0.0011922459],[0.0037138509],[' se cambio tapa opaca']
37,ok_equipo,marketing,"0,4298525155",[0.014953237],[0.084251344],[0.42985252],[0.3201588],[0.014399505],[0.12726708],[0.0071591064],[0.0019583288],[' cliente informa que le toman un estimativo en el consumo cuando el medidor no tiene consumo']
38,intrusion,intrusion,"0,9609673619",[0.96096736],[0.0040538255],[0.018343547],[0.00019068079],[0.010265584],[0.005886537],[0.0001841421],[0.00010837695],[' r con fraude dime convencional caja normal se encontro acometida pinchada se cambio y se dejo normalizado']
39,intrusion,marketing,"0,6467761397",[0.008752507],[0.088432394],[0.64677614],[0.17477673],[0.003463221],[0.011552726],[0.030158782],[0.036087412],[' cliente rehabilitado']
40,ok_equipo,visitada,"0,5470853448",[0.006557477],[0.017582038],[0.35434037],[0.54708534],[0.0070899623],[0.048434015],[0.0039982223],[0.014912628],[' normal']
41,intrusion,marketing,"0,3886063695",[0.1359126],[0.13977227],[0.38860637],[0.0317212],[0.027981244],[0.27268478],[0.0026916885],[0.00062985637],[' se coloco caja de monoposte y cableado a salida de cliente']
42,ok_equipo,seguridad,"0,6662516594",[0.0007415058],[0.0012533477],[0.020086523],[0.30972642],[0.001792826],[0.66625166],[2.7059326e-05],[0.00012063292],[' normal poco consumo se coloco marco y tapa']
43,ok_equipo,reparacion,"0,4910375774",[0.0023633307],[0.49103758],[0.1552086],[0.019016478],[0.00040974797],[0.0016072893],[0.32734683],[0.0030101405],[' sin anomalias medidor en desuso domicilio unico escuela utiliza un medidor trifasico ']
44,ok_equipo,seguridad,"0,9825829268",[0.0003117185],[0.00025025723],[0.0038190363],[0.009298964],[0.0037167137],[0.9825829],[5.332109e-06],[1.49631705e-05],[' se encontro normal se cambio tapa rectangular grande y termomacnetico']
45,reparacion,seguridad,"0,9720150232",[0.00051894784],[0.00017086681],[0.0029175247],[0.0025369623],[0.021823328],[0.972015],[5.99698e-06],[1.1360879e-05],[' se verifico medidor normal sin anomalias se cambio medidor a solicitud de la verificacion se cambio tapa por svpse cambio tapa']
46,intrusion,intrusion,"0,9970508814",[0.9970509],[0.00026600677],[0.0005285746],[1.8553446e-06],[0.002069761],[3.8261725e-05],[3.2965465e-05],[1.1675079e-05],[' conexion manipulada directo de bornera se normalizo irregularidades y se cambio marco y tapa nuevo']
47,intrusion,intrusion,"0,8237386346",[0.82373863],[0.005860644],[0.020218542],[0.00014353204],[0.14149295],[0.007740541],[0.00038601112],[0.0004191732],[' se verifico medidor se encontro directo en habitaculo se cambio tapa quedando normalizado']
48,reparacion,intrusion,"0,951471746",[0.95147175],[0.0029283979],[0.012041663],[7.511752e-05],[0.031118672],[0.00044508692],[0.0012171882],[0.00070220215],[' se cambio medidor que estava la carcasa perforada y se puso tapa hay que mandar a sacar mono poste afuera se ajunta foto']
49,reparacion,seguridad,"0,8368828297",[0.008131953],[0.0017832611],[0.017610418],[0.0024265433],[0.1329424],[0.8368828],[8.0297155e-05],[0.0001422972],[' se realiza verificacion completa del medidor n al cual se le realiza cambio de acometida por ser deficiente recalentado segun vecinos el cliente se encuentra internado en acilo ramirez y benitez se realizo cambio de tapa ciega']
50,seguridad,sin_realizar,"0,9388902783",[0.026545217],[0.00040453512],[0.012688976],[0.00024651634],[0.9388903],[0.019869294],[0.00019480266],[0.001160411],[' se cambio medidor por estar roto o desprogramado']
51,ok_equipo,seguridad,"0,5632532835",[0.0017374482],[0.0072938576],[0.083040595],[0.33315703],[0.0098741995],[0.5632533],[0.0005117694],[0.001131851],[' se verifico medidor con funcionamiento normal se fijo tapa existente']
52,ok_equipo,marketing,"0,4237609804",[0.025084995],[0.023391448],[0.42376098],[0.34901342],[0.033599082],[0.09125949],[0.006049828],[0.047840815],[' se verifico medidor con funcionamiento normal ']
53,ok_equipo,seguridad,"0,806950748",[0.0038316466],[0.0030533478],[0.036914397],[0.13759106],[0.011258625],[0.80695075],[0.00012149515],[0.00027872753],[' se verifica cliente normal y se cambio tapa']
54,reparacion,seguridad,"0,9777671099",[0.0015106355],[0.0010927719],[0.0077371276],[0.009677222],[0.002202664],[0.9777671],[5.1974566e-06],[7.3488645e-06],[' verificaciones sin anomalia de fraude tapa rota se normalizo svp se coloco caja iz dr se cambio acometida castillo f sandez i c normalizada']
55,ok_equipo,marketing,"0,517973125",[0.02386775],[0.12726471],[0.5179731],[0.030308548],[0.0068350737],[0.008460938],[0.28030932],[0.0049805054],[' medidor con habitaculo sellado inspeccion realizada el cables de carga unipolares exteriores sin proteccion mecanica por frente de propiedad y vecinos sobre linea municipal en altura se hablo con ocupante ']
56,seguridad,seguridad,"0,9004170895",[0.0003102819],[0.0007807471],[0.010932803],[0.08411506],[0.0033518982],[0.9004171],[3.8256152e-05],[5.3735188e-05],[' se verifico medidor en pilar normal se cambio tapa y marco']
57,intrusion,marketing,"0,5952520967",[0.012171541],[0.07957476],[0.5952521],[0.08592783],[0.003704475],[0.0070802188],[0.04871055],[0.16757853],[' rehabilitado cliente moroso normalizado']
58,ok_equipo,visitada,"0,9843515158",[9.421518e-05],[0.0012867732],[0.010974199],[0.9843515],[1.801037e-05],[0.0029849391],[0.0001332793],[0.00015711765],[' carga amperes se realizo inspeccion completa comparacion con carga propia sin irregularidades departamento desocupado al momento de la inspeccion']
59,ok_equipo,visitada,"0,5470853448",[0.006557477],[0.017582038],[0.35434037],[0.54708534],[0.0070899623],[0.048434015],[0.0039982223],[0.014912628],[' normal']
60,intrusion,sin_realizar,"0,4220797122",[0.28809202],[0.034168474],[0.0708057],[0.021532748],[0.4220797],[0.13273205],[0.026111202],[0.004478167],[' observaciones en svp se observa conexion directa desde termica que ingresa a la vivienda con amperes se detecto que medidor n se encuentra con la bornera quemada procediendo al cambio del mismo con equipo instalada numero que funciona normal se normalizanc nexi']
61,ok_equipo,marketing,"0,7147020102",[0.0156512],[0.036771424],[0.714702],[0.14483665],[0.0070285997],[0.014149521],[0.015394387],[0.051466223],[' sin anomalias']
62,seguridad,reparacion,"0,4305547178",[0.01994113],[0.43055472],[0.1225254],[0.012819934],[0.019334212],[0.38753623],[0.0070561115],[0.00023222087],[' cambio tapa no figura en wom caño de pvc de monoposte por fuera de la paredcambio tapa']
63,intrusion,intrusion,"0,725122869",[0.72512287],[0.064916514],[0.0978313],[0.0066670687],[0.004091072],[0.10041579],[0.00081999146],[0.000135333],[' verificacion completa verificacion de funcionamiento conexion monofasica con cable concentrico con cruce retiro de acometida instalacion de caja antihurto caja antihurto']
64,seguridad,marketing,"0,6061192155",[0.023839427],[0.036250245],[0.6061192],[0.13321204],[0.041849144],[0.120779425],[0.0084070945],[0.029543461],[' svpcambio de tapa']
65,reparacion,seguridad,"0,5442346931",[0.04268769],[0.013693748],[0.23080926],[0.08708355],[0.07760197],[0.5442347],[0.0008384226],[0.0030506854],[' caja antihurto rota']
66,seguridad,visitada,"0,5773253441",[0.005116065],[0.017605077],[0.30582216],[0.57732534],[0.008544134],[0.050949205],[0.0055085374],[0.02912946],[' se verifico medidor normal']
67,intrusion,intrusion,"0,9988538027",[0.9988538],[0.00024314484],[0.00024041414],[9.0203275e-07],[0.00061359355],[1.4371447e-05],[2.6945565e-05],[6.871738e-06],[' anomalias medidor sin precintos directo descripcion se retiro puente fase a fase del medidor medidor sin precintos de carcasa se cambio medidor medidor instalado caño de pilar roto movil paiva ayrton']
68,intrusion,intrusion,"0,9971549511",[0.99715495],[0.000671585],[0.0007429784],[2.809161e-06],[0.0012902702],[3.9560495e-05],[8.444692e-05],[1.3433928e-05],[' directo de bornera se normalizo irregularidad se instalo caja antihurto se corrigio direccion mahatma gandhi se utilizo sellador']
69,ok_equipo,visitada,"0,5470853448",[0.006557477],[0.017582038],[0.35434037],[0.54708534],[0.0070899623],[0.048434015],[0.0039982223],[0.014912628],[' normal']
70,intrusion,intrusion,"0,5772486329",[0.57724863],[0.042359594],[0.30063206],[0.0036420817],[0.049511917],[0.011139833],[0.004819378],[0.010646583],[' directo desde bornera']
71,intrusion,intrusion,"0,9993591905",[0.9993592],[0.00010334684],[0.0001186482],[2.9028223e-07],[0.0004039143],[7.974453e-06],[4.6851146e-06],[2.09773e-06],[' se encontro neutro interrumpido en bornera se normalizo se cambio tapa rota y se precinto se confecciono acta por fraude ']
72,reparacion,marketing,"0,7309787869",[0.01746873],[0.02744228],[0.7309788],[0.0882449],[0.019792087],[0.02044655],[0.017657587],[0.077969044],[' at']
73,ok_equipo,visitada,"0,7214536071",[0.0032535335],[0.016318627],[0.20875011],[0.7214536],[0.002251882],[0.044421587],[0.0013132445],[0.0022373677],[' se realizo inspeccion completa medidor sin anomalias carga amperes en el momento de la inspeccion']
74,reparacion,sin_realizar,"0,4756400287",[0.22793217],[0.013634916],[0.12842974],[0.002036561],[0.47564003],[0.14877312],[0.002317578],[0.001235929],[' se verifica medidor sin tension ya que tenia la acometida cortada se cambio acometida caja de medidor caños y termica se realizo calculo de error coordenadas ']
75,intrusion,marketing,"0,6467761397",[0.008752507],[0.088432394],[0.64677614],[0.17477673],[0.003463221],[0.011552726],[0.030158782],[0.036087412],[' cliente rehabilitado']
76,ok_equipo,visitada,"0,8035650849",[0.00016976708],[0.0018172369],[0.012416126],[0.8035651],[0.00018787775],[0.18174839],[4.5837787e-05],[4.9705275e-05],[' se encontro medidor sin anomalia se cambia tapa ciega casa sin actividad']
77,intrusion,marketing,"0,6649525166",[0.14627886],[0.035862613],[0.6649525],[0.037767738],[0.03416867],[0.027416136],[0.0076087695],[0.045944687],[' fraude']
78,ok_equipo,visitada,"0,5470853448",[0.006557477],[0.017582038],[0.35434037],[0.54708534],[0.0070899623],[0.048434015],[0.0039982223],[0.014912628],[' normal']
79,seguridad,seguridad,"0,5133076906",[0.010777462],[0.013160366],[0.26465002],[0.11513273],[0.07732954],[0.5133077],[0.0017051125],[0.0039370665],[' tapa rota y opaca']
80,ok_equipo,marketing,"0,5816072226",[0.29195952],[0.07177739],[0.5816072],[0.014706459],[0.0046945405],[0.008005768],[0.022352679],[0.0048964536],[' carga ampse realizo inspeccion completa se verifico medidor dentro de los parametros normales se procede a precintar carcasa de medidor con cuño ma por precinto de carcasa deficiente ee fabrica se hizo ocular por app a medidores y medidor sin anomalias']
81,ok_equipo,reparacion,"0,5024809241",[0.03334151],[0.5024809],[0.21569194],[0.21926177],[0.0006899759],[0.01186839],[0.012360932],[0.0043046167],[' se realizo inspeccion completa a medidor sin anomalias se cortaron y retiraron ramales sin consumo se deja todo normalizado y precintado']
82,intrusion,marketing,"0,6649525166",[0.14627886],[0.035862613],[0.6649525],[0.037767738],[0.03416867],[0.027416136],[0.0076087695],[0.045944687],[' fraude']
83,seguridad,visitada,"0,9933798313",[2.2227723e-05],[0.000708583],[0.003524258],[0.99337983],[8.41364e-06],[0.0021696093],[0.00011989442],[6.716924e-05],[' se verifico medidor sin anomalia vivienda deshabitadase verifico medidor sin anomalia vivienda deshabitada']
84,seguridad,seguridad,"0,6562122107",[0.09018744],[0.014331676],[0.057121452],[0.005505966],[0.17611417],[0.6562122],[0.00035200827],[0.00017511511],[' se verifico medidor y acometida sin anomalias se cambio tapa y termica ']
85,reparacion,sin_realizar,"0,979560256",[0.015927484],[0.00012034648],[0.00066501234],[4.8773545e-05],[0.97956026],[0.0033928358],[0.00011293996],[0.00017247026],[' se verifico medidor con problemas de arranque se cambio y normalizo suministro se acondiciono como se pudo caño acometida se cambio acometida deficiente se instalo caja antihurto por svpse instalo caja antihurto']
86,reparacion,sin_realizar,"0,8339579701",[0.021496974],[0.0050348733],[0.0993933],[0.0016095692],[0.83395797],[0.022076532],[0.0027529984],[0.01367775],[' se cambio medidor desprogamado posible medidor crusado con porchia medidor ']
87,ok_equipo,reparacion,"0,4995262325",[0.4006475],[0.49952623],[0.08286464],[0.0017591047],[0.0031413354],[0.0022569122],[0.009284862],[0.00051942235],[' se verifico medidor monofasico con la entreda de cliente cortada en bornera se consulto a base dime el medidor se encuentra suspendido por falta de pago ']
88,ok_equipo,visitada,"0,8655902147",[0.0005397859],[0.0017937112],[0.061151378],[0.8655902],[0.0021466336],[0.06675385],[0.00062416884],[0.0014002135],[' se realizo prueba arranque vacio y comparacion carga propia normal error ']
89,ok_equipo,visitada,"0,521282196",[0.0016959656],[0.037363127],[0.21340142],[0.5212822],[0.005049136],[0.20889725],[0.010148462],[0.0021624356],[' colocacion de mirilla en tapa opaca puntual y en linderos']
90,intrusion,marketing,"0,6649525166",[0.14627886],[0.035862613],[0.6649525],[0.037767738],[0.03416867],[0.027416136],[0.0076087695],[0.045944687],[' fraude']
91,intrusion,sin_realizar,"0,6497238874",[0.34383407],[0.000595021],[0.0037799517],[1.950367e-05],[0.6497239],[0.0016648179],[0.00016912624],[0.00021357978],[' se cambio acometida pinchada medidor quemado se coloco medidor ']
92,intrusion,intrusion,"0,994589448",[0.99458945],[0.00034099724],[0.0009891975],[3.2344833e-06],[0.003935901],[4.0568175e-05],[6.8534806e-05],[3.220846e-05],[' hoja dime fotos acta se verifica medidor volcado intencionalmente con carga y disco no integra se normalizo cambiando medidor colocando n ']
93,ok_equipo,visitada,"0,5470853448",[0.006557477],[0.017582038],[0.35434037],[0.54708534],[0.0070899623],[0.048434015],[0.0039982223],[0.014912628],[' normal']
94,ok_equipo,visitada,"0,5470853448",[0.006557477],[0.017582038],[0.35434037],[0.54708534],[0.0070899623],[0.048434015],[0.0039982223],[0.014912628],[' normal']
95,seguridad,seguridad,"0,8744284511",[0.0024159334],[0.0023128993],[0.023272587],[0.0071835835],[0.09008598],[0.87442845],[0.00012160537],[0.00017900199],[' se cambio tapa rectangular chica']
96,intrusion,intrusion,"0,9981893897",[0.9981894],[0.00023627466],[0.00026652674],[8.8883377e-07],[0.0012563834],[2.7381679e-05],[1.8378947e-05],[4.893792e-06],[' se corto directo trifasico se cambio acometida monofasica se cambio medidor se coloco caja plastica antihurto y termica']
97,reparacion,marketing,"0,4339922369",[0.07220549],[0.18480581],[0.43399224],[0.05475125],[0.03773394],[0.080509216],[0.13193181],[0.004070253],[' se verifico medidor trifasico cargas y a se aplico carga propia fase sin registrar consumo no se observa manipulacion se cambio medidor verifica linderos ']
98,ok_equipo,intrusion,"0,5767651796",[0.5767652],[0.07990738],[0.12420664],[0.008775533],[0.056809247],[0.1519627],[0.0011074154],[0.0004658815],[' carrero castillo medidor sin anomalias se adecua el habitaculo lleno de ramas internamente se coloca pipeta']
99,ok_equipo,visitada,"0,5470853448",[0.006557477],[0.017582038],[0.35434037],[0.54708534],[0.0070899623],[0.048434015],[0.0039982223],[0.014912628],[' normal']
100,reparacion,sin_realizar,"0,9794306159",[0.010060108],[0.00029285465],[0.001611671],[0.000110972695],[0.9794306],[0.008033908],[0.0001647848],[0.000294954],[' se cambio medidor trifasico con lectura borrosa y se cambio termica trifasica y se deja la misma tapa y se normaliza']
101,ok_equipo,visitada,"0,7672789693",[0.0015876904],[0.007586386],[0.19347438],[0.76727897],[0.0011363095],[0.015091607],[0.0026659688],[0.011178678],[' carga a en el momento de la inspeccion se realizo comparacion con carga propia la oblea se encontro pegada sobe el visor de sonda del mismo se dejo normalizado ']
102,ok_equipo,visitada,"0,8817850351",[0.0014862579],[0.00522399],[0.08677823],[0.88178504],[0.000995443],[0.019956507],[0.0010481112],[0.002726401],[' inspeccion sin anomalia']
103,ok_equipo,marketing,"0,661544621",[0.02190343],[0.08894558],[0.6615446],[0.15218766],[0.0061768414],[0.011197393],[0.019521536],[0.03852299],[' se veridico medidor sin anomalias al momento de la inspeccion']
104,ok_equipo,reparacion,"0,965587914",[0.0013090768],[0.9655879],[0.012451579],[0.015197668],[1.9055884e-05],[0.0008261836],[0.004559103],[4.9340455e-05],[' medidor sin anomaliahay suministro a terceros departamentos y locales']
105,ok_equipo,visitada,"0,4774436653",[0.006395614],[0.0174071],[0.38024518],[0.47744367],[0.013961813],[0.08018787],[0.0052296617],[0.019129088],[' normal medidor directa el resero ']
106,intrusion,visitada,"0,3748719692",[0.01605107],[0.11028846],[0.37193677],[0.37487197],[0.01305272],[0.10310757],[0.009414708],[0.0012767635],[' verificacion completa t bajo tension de acometida monofasico con cambio de medidor auto administrado nombre avalos juan legajo ayudante ayala movil normal']
107,ok_equipo,visitada,"0,614084661",[0.0034946266],[0.031107558],[0.3096502],[0.61408466],[0.001579835],[0.01608121],[0.01000231],[0.0139995655],[' sin actividad carga']
108,intrusion,marketing,"0,6755769253",[0.046698056],[0.057482235],[0.6755769],[0.08694794],[0.034147974],[0.052363895],[0.01320645],[0.03357649],[' cerradura rota']
109,seguridad,marketing,"0,5422238708",[0.026077764],[0.026383517],[0.5422239],[0.09399683],[0.086785436],[0.19592488],[0.0063187773],[0.022288917],[' error de eca tapa']
110,reparacion,sin_realizar,"0,992184937",[0.004099632],[8.256616e-05],[0.00057842484],[4.8200618e-05],[0.99218494],[0.0026989703],[0.00010110334],[0.0002062156],[' se verifico medidor encontrandose medidor roto y numerador averiado se cambio medidor y se coloco tapa nueva se sello habitaculo ']
111,ok_equipo,visitada,"0,9353910089",[0.00037000616],[0.001218129],[0.041126825],[0.935391],[0.000603424],[0.01878842],[0.00035847657],[0.0021437372],[' inspeccion sin anomalia casa en venta svp a medidor numero estado ']
112,seguridad,marketing,"0,4426546395",[0.025604932],[0.026027627],[0.44265464],[0.12458041],[0.07348457],[0.29095078],[0.0042219833],[0.012475036],[' tapa rota']
113,intrusion,intrusion,"0,9971852899",[0.9971853],[0.0010713208],[0.0005210121],[2.8346703e-06],[0.0010832],[6.877557e-05],[6.0674316e-05],[6.9452644e-06],[' se realizo verificacion de dicho medidor monofasico se retiro conexion clandestina se adecuo habitaculo se coloco tapa y termica nueva ']
114,ok_equipo,marketing,"0,6471786499",[0.038233288],[0.07070392],[0.64717865],[0.16334212],[0.00981579],[0.040187817],[0.006909196],[0.023629239],[' se tomo estado se encontro suspendido por deuda ']
115,intrusion,intrusion,"0,9829808474",[0.98298085],[0.00080172834],[0.0024279766],[5.1425436e-06],[0.013521317],[0.00015080962],[4.941569e-05],[6.27284e-05],[' se cambio medidor con fase por fase se realizo acta']
116,seguridad,seguridad,"0,9900400043",[9.672348e-05],[0.0001468436],[0.001556999],[0.0014684935],[0.0066791954],[0.99004],[3.6462939e-06],[8.095677e-06],[' se cambio tapa rota por seguridad en via publica se coloco tapa rectangular chica tapa rota']
117,intrusion,intrusion,"0,8197450638",[0.81974506],[0.016831042],[0.13770808],[0.004608659],[0.0062997406],[0.010567314],[0.0018336753],[0.0024063988],[' se elimino directo dentro del habitaculo con una carga de amperes local en alquiler y venta se labra acta quedando normalizado']
