clase_original,texto_original,texto_etl,texto_corregido,id_clase
ok_equipo,"Sin anomalías. Medidor en desuso, domicilio único (escuela) utiliza un medidor trifasico.",sin anomalia medidor desuso domicilio unico escuela utiliza medidor trifasico, sin anomalias medidor en desuso domicilio unico escuela utiliza un medidor trifasico ,6
ok_equipo,Se  encontró  normal  se  cambio  tapa  rectangular  grande  y  termomacnetico,encontro normal cambio tapa rectangular grande termomacnetico, se encontro normal se cambio tapa rectangular grande y termomacnetico,6
reparacion,"Se verifico medidor normal sin anomalías. 
Se cambio medidor a solicitud de la verificación. 
Se cambio tapa por SVPSe cambio tapa",verifico medidor normal sin anomalia cambio medidor solicitud verificacion cambio tapa svpse cambio tapa, se verifico medidor normal sin anomalias se cambio medidor a solicitud de la verificacion se cambio tapa por svpse cambio tapa,1
intrusion,Conexión manipulada directo de bornera se normalizó irregularidades y se cambio marco y tapa nuevo,conexion manipulada directo bornera normalizo irregularidades cambio marco tapa nuevo, conexion manipulada directo de bornera se normalizo irregularidades y se cambio marco y tapa nuevo,0
intrusion,se verificó medidor se encontró directo en habitáculo se cambió tapa quedando normalizado,verifico medidor encontro directo habitaculo cambio tapa quedando normalizado, se verifico medidor se encontro directo en habitaculo se cambio tapa quedando normalizado,0
reparacion,Se camvio medidor que estava la carcasa perforada y se puso tapa .hay que mandar a sacar mono poste afuera se ajunta foto,cambio medidor estava carcasa perforada puso tapa mandar sacar mono poste afuera ajunta foto, se cambio medidor que estava la carcasa perforada y se puso tapa hay que mandar a sacar mono poste afuera se ajunta foto,1
reparacion,"Se realiza verificación completa del medidor n°217327 al cual se le realiza cambio de acometida por ser deficiente ( recalentado ).
Según vecinos el cliente se encuentra internado en acilo.
Ramírez y Benítez 
Se realizó cambio de tapa ciega",realizo verificacion completa medidor realizo cambio acometida ser deficiente recalentado segun vecino cliente encontro internado acilo realizo cambio tapa ciega, se realiza verificacion completa del medidor n al cual se le realiza cambio de acometida por ser deficiente recalentado segun vecinos el cliente se encuentra internado en acilo ramirez y benitez se realizo cambio de tapa ciega,1
seguridad,Se csmbio medidor por estar roto o desprogramado,cambio medidor roto desprogramado, se cambio medidor por estar roto o desprogramado,5
ok_equipo,Se verificó medidor con funcionamiento normal.  Se fijó tapa existente,verifico medidor con funcionamiento normal fijo tapa existente, se verifico medidor con funcionamiento normal se fijo tapa existente,6
ok_equipo,Se verificó medidor con funcionamiento normal.,verifico medidor con funcionamiento normal, se verifico medidor con funcionamiento normal ,6
ok_equipo,se verifica cliente normal y se cambio tapa,verifico cliente normal cambio tapa, se verifica cliente normal y se cambio tapa,6
reparacion,"Verificaciones.
Sin Anomalia de fraude...Tapa rota..se normalizo SVP..se coloco caja iz/dr...se cambio acometida

Castillo F 514706
Sandez I 514704
C565,
Normalizada",verificaciones sin anomalia fraude tapa rota normalizo seguridad via publica coloco caja iz dr cambio acometida normalizado, verificaciones sin anomalia de fraude tapa rota se normalizo svp se coloco caja iz dr se cambio acometida castillo f sandez i c normalizada,1
ok_equipo,Medidor con habitáculo sellado. Insp realizada el 11/06/19. Cables de carga unipolares exteriores sin protección mecánica por frente de propiedad y vecinos sobre línea municipal en altura. Se habló con ocupante.,medidor con habitaculo sellado inspeccion realizada cables carga unipolares exteriores sin proteccion mecanica frente propiedad vecino linea municipal altura hablo con ocupante, medidor con habitaculo sellado inspeccion realizada el cables de carga unipolares exteriores sin proteccion mecanica por frente de propiedad y vecinos sobre linea municipal en altura se hablo con ocupante ,6
seguridad,Se verifico medidor en pilar normal se cambio tapa y marco,verifico medidor pilar normal cambio tapa marco, se verifico medidor en pilar normal se cambio tapa y marco,5
intrusion,"REHABILITADO 
cliente moroso normalizado",rehabilitado cliente moroso normalizado, rehabilitado cliente moroso normalizado,0
ok_equipo,Carga;0.2amp se realizo insp completa comparación con carga propia sin irregularidades.dpto desocupado al momento de la insp,carga amperes realizo inspeccion completa comparacion con carga propia sin irregularidades departamento deshabitada momento inspeccion, carga amperes se realizo inspeccion completa comparacion con carga propia sin irregularidades departamento desocupado al momento de la inspeccion,6
ok_equipo,Normal,normal, normal,6
intrusion,Observaciones en svp.Se observa conexion directa desde termica que ingresa a la vivienda con 2.3 amp.se detectó que medidor n1552518 se encuentra con la bornera quemada procediendo al cambio del mismo. Con equipo instalada nro 17297394 que funciona normal. Se normalizanc9nexi,observacion seguridad via publica observa conexion directo desde termica ingresa vivienda con amperes detecto medidor encontro con bornera quemada procediendo cambio mismo con equipo instalada numero funciona normal normalizanc nexi, observaciones en svp se observa conexion directa desde termica que ingresa a la vivienda con amperes se detecto que medidor n se encuentra con la bornera quemada procediendo al cambio del mismo con equipo instalada numero que funciona normal se normalizanc nexi,0
ok_equipo,Sin anomalías,sin anomalia, sin anomalias,6
seguridad,Cambio tapa 19304 no figura en won caño de pvc de monoposte por fuera de la paredCambio tapa,cambio tapa no figura wom caño pvc monoposte fuera paredcambio tapa, cambio tapa no figura en wom caño de pvc de monoposte por fuera de la paredcambio tapa,5
intrusion,"VERIFICACIÓN COMPLETA 
VERIFICACIÓN DE FUNCIONAMIENTO
CONEXIÓN  monofasica con cable concéntrico con CRUCE 
RETIRÓ DE acometida 
Instalacion DE caja antihurto 
Caja antihurto",verificacion completa verificacion funcionamiento conexion monofasica con cable concentrico con cruce retiro acometida instalacion caja antihurto caja antihurto, verificacion completa verificacion de funcionamiento conexion monofasica con cable concentrico con cruce retiro de acometida instalacion de caja antihurto caja antihurto,0
seguridad,SvpCambio de tapa,svpcambio tapa, svpcambio de tapa,5
reparacion,Caja antihurto rota,caja antihurto rota, caja antihurto rota,1
seguridad,Sé verificó medidor normal,verifico medidor normal, se verifico medidor normal,5
intrusion,"Anomalias:Medidor sin precintos,directo
Descripcion:Se retiro puente fase a fase del medidor,medidor sin precintos de carcasa,se cambio medidor.
Medidor instalado:17463460
Caño de pilar roto.
Movil 362
13435 paiva ayrton",anomalia medidor sin precinto directo descripcion retiro puente fase fase medidor medidor sin precinto carcasa cambio medidor medidor instalado caño pilar roto, anomalias medidor sin precintos directo descripcion se retiro puente fase a fase del medidor medidor sin precintos de carcasa se cambio medidor medidor instalado caño de pilar roto movil paiva ayrton,0
intrusion,"directo de bornera. se normalizó irregularidad se instalo caja antihurto,  se corrigió dirección Mahatma Gandhi 778 se utilizo 1 sellador",directo bornera normalizo irregularidad instalo caja antihurto corrigio direccion mahatma gandhi utilizo sellador, directo de bornera se normalizo irregularidad se instalo caja antihurto se corrigio direccion mahatma gandhi se utilizo sellador,0
ok_equipo,Normal,normal, normal,6
intrusion,Directo desde bornera,directo desde bornera, directo desde bornera,0
intrusion,Se encontró neutro interrumpido en bornera. Se normalizo. Se cbio tapa rota y se precinto. Se confeccionó acta por fraude.,encontro neutro interrumpido bornera normalizo cambio tapa rota precinto confecciono acta fraude, se encontro neutro interrumpido en bornera se normalizo se cambio tapa rota y se precinto se confecciono acta por fraude ,0
reparacion,AT,cambio medidor, at,1
ok_equipo,Se realizó inspección completa.  Medidor sin anomalías. Carga: 0.0. Amp en el momento de la inspección,realizo inspeccion completa medidor sin anomalia carga amperes momento inspeccion, se realizo inspeccion completa medidor sin anomalias carga amperes en el momento de la inspeccion,6
reparacion,"se verifica medidor sin tension ya que tenia la acometida cortada, se cambio acometida, caja de medidor, caños y termica, se realizo calculo de error, coord -34.199219, -58.608537",verifico medidor sin tension ya acometida cortado cambio acometida caja medidor caños termica realizo calculo error coordenadas, se verifica medidor sin tension ya que tenia la acometida cortada se cambio acometida caja de medidor caños y termica se realizo calculo de error coordenadas ,1
intrusion,CLIENTE REHABILITADO,cliente rehabilitado, cliente rehabilitado,0
ok_equipo,Se encontró medidor sin anomalía  se cambia tapa ciega casa sin actividad,encontro medidor sin anomalia cambio tapa ciega casa sin actividad, se encontro medidor sin anomalia se cambia tapa ciega casa sin actividad,6
intrusion,Fraude,fraude, fraude,0
ok_equipo,NORMAL,normal, normal,6
seguridad,Tapa rota y opaca,tapa rota opaca, tapa rota y opaca,5
ok_equipo,"Carga:2.1ampSE REALIZO INSPECCIÓN COMPLETA, SE VERIFICO MED DENTRO DE LOS PARÁMETROS NORMALES,SE PROCEDE A PRECINTAR CARCASA DE MED CON CUÑO MA006 POR PRECINTO DE CARCASA DEFICIENTE EE FABRICA.Se hizo ocular por app a medidores 17474205- 17463954 y med17473869 sin anomalías",carga ampse realizo inspeccion completa verifico medidor dentro parametros normales procede precintar carcasa medidor con cuño ma precinto carcasa deficiente ee fabrica hizo ocular sin determinar medidor medidor sin anomalia, carga ampse realizo inspeccion completa se verifico medidor dentro de los parametros normales se procede a precintar carcasa de medidor con cuño ma por precinto de carcasa deficiente ee fabrica se hizo ocular por app a medidores y medidor sin anomalias,6
ok_equipo,"Se realizo inspección completa a medidor sin anomalías,  se cortaron y retiraron ramales sin consumo, se deja todo normalizado y precintado",realizo inspeccion completa medidor sin anomalia cortaron retiraron ramales sin consumo deja normalizado precintado, se realizo inspeccion completa a medidor sin anomalias se cortaron y retiraron ramales sin consumo se deja todo normalizado y precintado,6
intrusion,FRAUDE,fraude, fraude,0
seguridad,Se verificó medidor sin anomalía vivienda deshabitadaSé verificó medidor sin anomalía vivienda deshabitada,verifico medidor sin anomalia vivienda deshabitadase verifico medidor sin anomalia vivienda deshabitada, se verifico medidor sin anomalia vivienda deshabitadase verifico medidor sin anomalia vivienda deshabitada,5
seguridad,Se verifico medidor y acometida sin anomalías. Se cambió tapa y térmica.,verifico medidor acometida sin anomalia cambio tapa termica, se verifico medidor y acometida sin anomalias se cambio tapa y termica ,5
reparacion,"Se verifico medidor con problemas de arranque, se cambio y normalizó suministro. 
Se acondicionó (como se pudo ) caño acometida, se cambio acometida deficiente, se instaló caja antihurto por SVPSe instaló caja antihurto",verifico medidor con problemas arranque cambio normalizo suministro acondiciono pudo caño acometida cambio acometida deficiente instalo caja antihurto svpse instalo caja antihurto, se verifico medidor con problemas de arranque se cambio y normalizo suministro se acondiciono como se pudo caño acometida se cambio acometida deficiente se instalo caja antihurto por svpse instalo caja antihurto,1
reparacion,se cambio medidor  desprogamado posible  medidor crusado con porchia 5794 medidor  1292752,cambio medidor desprogamado posible medidor crusado con porchia medidor, se cambio medidor desprogamado posible medidor crusado con porchia medidor ,1
ok_equipo,Se verificó medidor monofasico con la entreda de cliente cortada en bornera.se consultó a base dime.el medidor se encuentra suspendido por falta de pago.,verifico medidor monofasico con entreda cliente cortado bornera consulto base dime medidor encontro suspendido falta pago, se verifico medidor monofasico con la entreda de cliente cortada en bornera se consulto a base dime el medidor se encuentra suspendido por falta de pago ,6
ok_equipo,"Se realizo prueba arranque , vacio y comparacion carga propia normal . Error : -2,38% .",realizo prueba arranque vacio comparacion carga propia normal error, se realizo prueba arranque vacio y comparacion carga propia normal error ,6
ok_equipo,Colocación de mirilla en tapa opaca puntual y en linderos,colocacion tapa opaca puntual linderos, colocacion de mirilla en tapa opaca puntual y en linderos,6
intrusion,Fraude,fraude, fraude,0
intrusion,Se cambió acometida pinchada medidor quemado se colocó medidor 17275809,cambio acometida pinchada medidor quemado coloco medidor, se cambio acometida pinchada medidor quemado se coloco medidor ,0
intrusion,"Hoja dime. Fotos. Acta. Se verif med volcado intencionalmente, con carga y disco no integra. Se normalizó cambiando.med colocando n17406781-550.",hoja dime foto acta verifico medidor volcado intencionalmente con carga disco no integra normalizo cambiando medidor colocando, hoja dime fotos acta se verifica medidor volcado intencionalmente con carga y disco no integra se normalizo cambiando medidor colocando n ,0
ok_equipo,Normal,normal, normal,6
ok_equipo,NORMAL,normal, normal,6
seguridad,Se cambió tapa rect chica,cambio tapa rectangular chica, se cambio tapa rectangular chica,5
intrusion,"Se cortó directo trifásico
Se cambió acometida monofásica
Se.cambio medidor
Se.coloco caja plástica antihurto
Y termica",corto directo trifasico cambio acometida monofasica cambio medidor coloco caja plastica antihurto termica, se corto directo trifasico se cambio acometida monofasica se cambio medidor se coloco caja plastica antihurto y termica,0
reparacion,"Se verifico medidor trifásico cargas 0.3 0.8 y 1.7A. Se aplicó carga propia, Fase 3 sin registrar consumo. No se observa manipulacion. Se cambio med. Verif linderos.",verifico medidor trifasico carga aplico carga propia fase sin registrar consumo no observa manipulacion cambio medidor verifico linderos, se verifico medidor trifasico cargas y a se aplico carga propia fase sin registrar consumo no se observa manipulacion se cambio medidor verifica linderos ,1
ok_equipo,Carrero-Castillo. Medidor 10866878 sin anomalias se adecua el habitáculo lleno de ramas internamente. Se coloca pipeta,carrero medidor sin anomalia adecua habitaculo lleno ramas internamente coloca pipeta, carrero castillo medidor sin anomalias se adecua el habitaculo lleno de ramas internamente se coloca pipeta,6
ok_equipo,NORMAL,normal, normal,6
reparacion,"se cambio medidor trifasico con lectura borrosa y se cambio termica trifasica y se deja la misma tapa y 
se  normaliza",cambio medidor trifasico con lectura borrosa cambio termica trifasica deja misma tapa normalizo, se cambio medidor trifasico con lectura borrosa y se cambio termica trifasica y se deja la misma tapa y se normaliza,1
ok_equipo,"Carga: 0, 0A en el momento de la inspección, se realizó comparación con carga propia,  la oblea se encontró pegada sobe el visor de sonda del mismo.  Se dejo normalizado.",carga momento inspeccion realizo comparacion con carga propia oblea encontro pegada sobe visor sonda mismo dejo normalizado, carga a en el momento de la inspeccion se realizo comparacion con carga propia la oblea se encontro pegada sobe el visor de sonda del mismo se dejo normalizado ,6
ok_equipo,Insp sin anomalía,inspeccion sin anomalia, inspeccion sin anomalia,6
ok_equipo,Se veridico medisor sin anomalias al momento de la inspeccion,veridico medidor sin anomalia momento inspeccion, se veridico medidor sin anomalias al momento de la inspeccion,6
ok_equipo,Mdor sin anomaliaHay suministro a terceros 8dptos y 2 locales,medidor sin anomaliahay suministro tercero departamentos locales, medidor sin anomaliahay suministro a terceros departamentos y locales,6
ok_equipo,"NORMAL
MED:5809379
DIREC:EL RESERO 6257",normal medidor directo resero, normal medidor directa el resero ,6
intrusion,"Verificación completa t1 bajo tensión de acometida monofasico con cambio de medidor auto administrado 
Nombre Avalos Juan 
Legajo ayudante 14177Ayala 
MÓVIL476Normal",verificacion completa bajo tension acometida monofasico con cambio medidor auto administrado normal, verificacion completa t bajo tension de acometida monofasico con cambio de medidor auto administrado nombre avalos juan legajo ayudante ayala movil normal,0
ok_equipo,Sin actividad 0 carga,sin actividad carga, sin actividad carga,6
intrusion,CERRADURA rota,cerradura rota, cerradura rota,0
seguridad,Error de Eca -2.06Tapa,error eca tapa, error de eca tapa,5
reparacion,Se verificó medidor encontrándose medidor roto y numerador averiado se cambio medidor y se colocó tapa nueva se selló habitáculo.,verifico medidor encontrandose medidor roto numerador averiado cambio medidor coloco tapa nueva sello habitaculo, se verifico medidor encontrandose medidor roto y numerador averiado se cambio medidor y se coloco tapa nueva se sello habitaculo ,1
ok_equipo,Insp sin anomalía casa en venta. SVP a medidor nro 10031034 estado 24752,inspeccion sin anomalia casa venta seguridad via publica medidor numero estado, inspeccion sin anomalia casa en venta svp a medidor numero estado ,6
seguridad,Tapa rota,tapa rota, tapa rota,5
intrusion,"Se realizó verificacion de dicho medidor monofásico,se retiro conexión clandestina,se adecuo habitaculo,se colocó tapa y térmica nueva.",realizo verificacion dicho medidor monofasico retiro conexion clandestina adecuo habitaculo coloco tapa termica nueva, se realizo verificacion de dicho medidor monofasico se retiro conexion clandestina se adecuo habitaculo se coloco tapa y termica nueva ,0
ok_equipo,"SE TOMO ESTADO, SE ENCONTRO SUSPENDIDO POR DEUDA.",tomo estado encontro suspendido deuda, se tomo estado se encontro suspendido por deuda ,6
intrusion,se cambió medidor con fase x fase . se realizo acta,cambio medidor con fase fase realizo acta, se cambio medidor con fase por fase se realizo acta,0
seguridad,"Se cambió tapa rota, por seguridad en vía pública. Se colocó tapa rectangular chica.Tapa rota",cambio tapa rota seguridad via publica coloco tapa rectangular chica tapa rota, se cambio tapa rota por seguridad en via publica se coloco tapa rectangular chica tapa rota,5
intrusion,Se elimino directo dentro del habitaculo con una carga de 0.0 amp local en alquiler y venta se labra acta quedando normalizado,elimino directo dentro habitaculo con carga amperes local alquiler venta labra acta quedando normalizado, se elimino directo dentro del habitaculo con una carga de amperes local en alquiler y venta se labra acta quedando normalizado,0
intrusion,"R.CONVENCIONAL.CONFRAUDE
1.2AMPER FASE XR FASE 
verificación completa T1 bajo tención de cometida verificación y determinación del error in situ instalación caja derecha izquierdaSi",convencional con fraude amper fase xr fase verificacion completa bajo tension acometida verificacion determinacion error interno sitio instalacion caja derecha izquierdasi, r convencional con fraude amper fase xr fase verificacion completa t bajo tension de acometida verificacion y determinacion del error interno sitio instalacion caja derecha izquierdasi,0
ok_equipo,NORMAL,normal, normal,6
intrusion,Se rehabilito,rehabilito, se rehabilito,0
ok_equipo,Normal,normal, normal,6
reparacion,"Se verificó medidor con error mayor al admisible se realizó verificación t1 insitu se colocó tapa y termica y normaliza cliente con medidor 17539386.
Moreno-Mazzucco",verifico medidor con error mayor admisible realizo verificacion sitio coloco tapa termica normalizo cliente con medidor, se verifico medidor con error mayor al admisible se realizo verificacion t en sitio se coloco tapa y termica y normaliza cliente con medidor moreno mazzucco,1
reparacion,GRAN BURG.R. SIN FRAUDE CONVENCIONAL SE CAMBIO TAPA Y MARCO SE QUITO PELIGROSe quito PELIGRO,gran burg sin fraude convencional cambio tapa marco quito peligrose quito peligro, gran burg r sin fraude convencional se cambio tapa y marco se quito peligrose quito peligro,1
ok_equipo,Normal,normal, normal,6
reparacion,Se verifico medidor sin anomalía se cambia medidor trif a pedido administrativo,verifico medidor sin anomalia cambio medidor trifasico pedido administrativo, se verifico medidor sin anomalia se cambia medidor trifasico a pedido administrativo,1
seguridad,Coloco térmica,coloco termica, coloco termica,5
seguridad,Se revisó medidor y acometida. Se instaló caja antihurto. Sin stock de siliconaCerradura rota,reviso medidor acometida instalo caja antihurto sin stock siliconacerradura rota, se reviso medidor y acometida se instalo caja antihurto sin stock de siliconacerradura rota,5
reparacion,Se encontró medidor monofásico obsoleto. Se cambio medidor y se colocó tapa y térmica de 63 amp.,encontro medidor monofasico obsoleto cambio medidor coloco tapa termica amperes, se encontro medidor monofasico obsoleto se cambio medidor y se coloco tapa y termica de amperes ,1
seguridad,"Se verifica Medidor sin posibles anomalias en actividad carga registrada 1,7 amper. Se cambió tapa y 3 tapas linderos numros 8178672/424824/1461631 se adjunta fotos.Cambio de tapas",verifico medidor sin posibles anomalia actividad carga registrada amper cambio tapa tapas linderos numros adjunta foto cambio tapas, se verifica medidor sin posibles anomalias en actividad carga registrada amper se cambio tapa y tapas linderos numros se adjunta fotos cambio de tapas,5
ok_equipo,Se realiza comparación de carga arrojó e%3.57 funciona bien . No se pudo hacer pruebas de fuga no hay nadie en el lugar,realizo comparacion carga arrojo funciona bien no pudo hacer pruebas fuga no nadie lugar, se realiza comparacion de carga arrojo e funciona bien no se pudo hacer pruebas de fuga no hay nadie en el lugar,6
