clase_original,texto_original,texto_etl,texto_corregido,id_clase,nro_palabras
intrusion,se encuentra directos en habitaculo se coloco caja antiurto y tapa ciega rota vecino dos y pipeta troquelada,encontro directo habitaculo coloco caja antihurto tapa ciega rota vecino dos pipeta troquelada, se encuentra directos en habitaculo se coloco caja antihurto y tapa ciega rota vecino dos y pipeta troquelada,0,13
intrusion,se encontro med XXXXXX con fase a fase. se retiro conexion clandestina. se realizo inspeccion completa y control in situ. se coloco caja antihurto y termica. se confecciona acta por fraude.,encontro medidor con fase fase retiro conexion clandestina realizo inspeccion completa control interno sitio coloco caja antihurto termica confecciona acta fraude, se encontro medidor con fase a fase se retiro conexion clandestina se realizo inspeccion completa y control interno sitio se coloco caja antihurto y termica se confecciona acta por fraude ,0,21
intrusion,"corte directo, cambio de caja monoposte",corte directo cambio caja monoposte, corte directo cambio de caja monoposte,0,5
reparacion,"se realizo inspeccion completa. se cambio medidor obsoleto, se coloco acometira nueva, caja antihurto y termica",realizo inspeccion completa cambio medidor obsoleto coloco acometida nueva caja antihurto termica, se realizo inspeccion completa se cambio medidor obsoleto se coloco acometida nueva caja antihurto y termica,1,12
reparacion,"se realizo inspeccion X.X amper el medidor no paso la verificacion de funcionamiento y error el mismo arrojo un error de -X,X se instalo un medidor nuevo n°XXXXXXXX",realizo inspeccion amper medidor no paso verificacion funcionamiento error mismo arrojo error instalo medidor nuevo, se realizo inspeccion amper el medidor no paso la verificacion de funcionamiento y error el mismo arrojo un error de se instalo un medidor nuevo n ,1,15
intrusion,medidor con precintos de carcaza violados. se cambio medidor tapa y termica. dejando normalizada la medicion.,medidor con precinto carcaza violados cambio medidor tapa termica dejando normalizado medicion, medidor con precintos de carcaza violados se cambio medidor tapa y termica dejando normalizada la medicion ,0,12
seguridad,cuadrilla XXX cambio de caja termica acometida preformados morsetos caño kit verificacion insitu estado XXXXX/XXXX,cambio caja termica acometida preformados morcetos caño kit verificacion sitio estado, cuadrilla cambio de caja termica acometida preformados morcetos caño kit verificacion en sitio estado ,5,11
reparacion,"se cambio medidor quemado en bornera, se instalo medidor nº XXXXXXXX",cambio medidor quemado bornera instalo medidor, se cambio medidor quemado en bornera se instalo medidor n ,1,6
seguridad,se verifico medidor monofasico con acometida deficiente y caja trampa rota- se cambio ramal y se coloco caja trampa nueva.,verifico medidor monofasico con acometida deficiente caja trampa rota cambio ramal coloco caja trampa nueva, se verifico medidor monofasico con acometida deficiente y caja trampa rota se cambio ramal y se coloco caja trampa nueva ,5,15
intrusion,estado XXXXX. carga XXamp. se detecto puente entre fases en bornera del med. el med alimenta a un supermercado. se dejo como se encontro y con doble cuño para normalizar con policias. se hace aX.,estado carga amperes detecto puente fase bornera medidor medidor alimenta supermercado dejo encontro con doble cuño normalizar con policias hace, estado carga amperes se detecto puente entre fases en bornera del medidor el medidor alimenta a un supermercado se dejo como se encontro y con doble cuño para normalizar con policias se hace a ,0,20
reparacion,se cambio medidor quemado con termica XXa y tapa nuevas.,cambio medidor quemado con termica tapa nuevas, se cambio medidor quemado con termica a y tapa nuevas ,1,7
intrusion,se encontro derivacion clandestina.se retiro se cambio medidor por problemas de arranque.no gira no integra.se cambio tapa.se realizo acta manual.adecuo y sello dejo normalizado.,encontro derivacion clandestina retiro cambio medidor problemas arranque no gira no integra cambio tapa realizo acta manual adecuo sello dejo normalizado, se encontro derivacion clandestina se retiro se cambio medidor por problemas de arranque no gira no integra se cambio tapa se realizo acta manual adecuo y sello dejo normalizado ,0,21
reparacion,Se Cambio Medidor Con Display Quemado Se Colocó Tapa Trifásica,cambio medidor con display quemado coloco tapa trifasica, se cambio medidor con display quemado se coloco tapa trifasica,1,8
reparacion,se cambia medidor trifasico quemado y se cambia morseto en labt. cliente va a informar artefactos quemados.,cambio medidor trifasico quemado cambio morceto labt cliente va informar artefactos quemados, se cambia medidor trifasico quemado y se cambia morceto en labt cliente va a informar artefactos quemados ,1,12
reparacion,"se cambio med quemado en bornera , se reparo fase y neutro de acometida, se cambio termica y tapa. estado ilegible.",cambio medidor quemado bornera reparo fase neutro acometida cambio termica tapa estado ilegible, se cambio medidor quemado en bornera se reparo fase y neutro de acometida se cambio termica y tapa estado ilegible ,1,13
reparacion,medidor con bornera quemada. se cambio medidor. cliente ausente. segun vecina es una vivienda.,medidor con bornera quemada cambio medidor cliente ausente segun vecina vivienda, medidor con bornera quemada se cambio medidor cliente ausente segun vecina es una vivienda ,1,11
intrusion,se verif med con conex manip fase x fase con lectura menor a la anterior se normalizo conexiondo se realizo inspeccion completa,verifico medidor con conexion manipulado fase fase con lectura menor anterior normalizo conexiondo realizo inspeccion completa, se verifica medidor con conexion manipulado fase por fase con lectura menor a la anterior se normalizo conexiondo se realizo inspeccion completa,0,16
seguridad,"limpieza de habitaculos, cambio de tapa y termica trifasica,pipeta,preformados,acometida estado:XXXXX Y morales movil XXX",limpieza habitaculos cambio tapa termica trifasica pipeta preformados acometida estado, limpieza de habitaculos cambio de tapa y termica trifasica pipeta preformados acometida estado Y morales movil ,5,10
intrusion,se realizo insp se encontro puente de fase a fase se normalizo re confec acta se corto directa a vecino frente. sin med casa demolida ver fotos,realizo inspeccion encontro puente fase fase normalizo sin determinar confec acta corto directo vecino frente sin medidor casa demolida ver foto, se realizo inspeccion se encontro puente de fase a fase se normalizo re confec acta se corto directa a vecino frente sin medidor casa demolida ver fotos,0,21
intrusion,se cambio caja habitaculo se cambio cometida pinchada se verifico el medidor y se normalizo el suministro,cambio caja habitaculo cambio acometida pinchada verifico medidor normalizo suministro, se cambio caja habitaculo se cambio acometida pinchada se verifico el medidor y se normalizo el suministro,0,10
reparacion,se encontro medidor quemado en bornera. se procedio a cambiar medidor,encontro medidor quemado bornera procedio cambiar medidor, se encontro medidor quemado en bornera se procedio a cambiar medidor,1,7
intrusion,se encontro directa tomada desde los morcetos de linea de poste de X.XX mts con un cable negro de X mm.,encontro directo tomada desde morcetos linea poste metros con cable negro mm, se encontro directa tomada desde los morcetos de linea de poste de metros con un cable negro de mm ,0,12
reparacion,"medidor obsoleto funcionando normal,se cambio medidor,medidor instalado bien.no se pudo cambiar acometida por caño muy fino,se midio aguas arriba y abajo sin diferencia de carga.se coloco caja antihurto capilla.",medidor obsoleto funcionando normal cambio medidor medidor instalado bien no pudo cambiar acometida caño fino midio aguas arriba abajo sin diferencia carga coloco caja antihurto capilla, medidor obsoleto funcionando normal se cambio medidor medidor instalado bien no se pudo cambiar acometida por caño muy fino se midio aguas arriba y abajo sin diferencia de carga se coloco caja antihurto capilla ,1,26
intrusion,se encontro medidor en directo de habitaculo. se normalizo irregularidad.se cambia tapa trif. termica y pipeta.acta x fraude.se adecuo habitaculo.,encontro medidor directo habitaculo normalizo irregularidad cambio tapa trifasico termica pipeta acta fraude adecuo habitaculo, se encontro medidor en directo de habitaculo se normalizo irregularidad se cambia tapa trifasico termica y pipeta acta por fraude se adecuo habitaculo ,0,15
reparacion,"se cambio medidor x obsoleto. se cambio tapa y termica, cables de medidor a medidor, dejando normalizado",cambio medidor obsoleto cambio tapa termica cables medidor medidor dejando normalizado, se cambio medidor por obsoleto se cambio tapa y termica cables de medidor a medidor dejando normalizado,1,11
intrusion,corto conexion directa que impedia al equipo registrar consumo real. no se pudo sondear acometida empalmada en caño pilar. se midierona guas arriba y abajo sin dif de carga.imposible cambiar acometida por poste de X.XX se pide cbio de poste. se cbio tap,corto conexion directo impedia equipo registrar consumo real no pudo sondear acometida empalmada caño pilar midierona guas arriba abajo sin dif carga imposible cambiar acometida poste pide cambio poste cambio tapa, corto conexion directa que impedia al equipo registrar consumo real no se pudo sondear acometida empalmada en caño pilar se midierona guas arriba y abajo sin dif de carga imposible cambiar acometida por poste de se pide cambio de poste se cambio tapa,0,31
intrusion,se cambio medidor monofasico sin precintos de carcasa se coloco caja antiurto y termica de XX amp,cambio medidor monofasico sin precinto carcasa coloco caja antihurto termica amperes, se cambio medidor monofasico sin precintos de carcasa se coloco caja antihurto y termica de amperes,0,11
intrusion,se encontro medidor con conexion clandestina directa a tablero interno con carga de X.X amp al momento de la medicion.,encontro medidor con conexion clandestina directo tablero interno con carga amperes momento medicion, se encontro medidor con conexion clandestina directa a tablero interno con carga de amperes al momento de la medicion ,0,13
intrusion,se realizo inspeccion a medidor monofasico con puente fase a fase. se coloco caja trampa y termica. se realizo acta.,realizo inspeccion medidor monofasico con puente fase fase coloco caja trampa termica realizo acta, se realizo inspeccion a medidor monofasico con puente fase a fase se coloco caja trampa y termica se realizo acta ,0,14
seguridad,se realizo verificacion completa se coloco caja antihurto se coloco plomito e hilo energia activa: XXXXX,realizo verificacion completa coloco caja antihurto coloco plomito hilo energia activa, se realizo verificacion completa se coloco caja antihurto se coloco plomito e hilo energia activa ,5,11
reparacion,se cambio med monof con tornillo en bornera cortado roto.se coloco tapa y termica,cambio medidor monofasico con tornillo bornera cortado roto coloco tapa termica, se cambio medidor monofasico con tornillo en bornera cortado roto se coloco tapa y termica,1,11
seguridad,se encontro medidor con caja trampa rota. se cambio la misma . se realizo verificacion completa. se precinto se sello tapa,encontro medidor con caja trampa rota cambio misma realizo verificacion completa precinto sello tapa, se encontro medidor con caja trampa rota se cambio la misma se realizo verificacion completa se precinto se sello tapa,5,14
reparacion,"se realizo prueba de arranque disco no integra. se tomo carga registrada X,X amper. se normalizo realizando el cambio de medidor. se adjunta fotos",realizo prueba arranque disco no integra tomo carga registrada amper normalizo realizando cambio medidor adjunta foto, se realizo prueba de arranque disco no integra se tomo carga registrada amper se normalizo realizando el cambio de medidor se adjunta fotos,1,16
seguridad,se realizo inspeccion completa. se cambio cableado de medidor a medidor de tela y de medidor a tablero. se ajusto conexionado de entrada. se cambio tapa capilla chica,realizo inspeccion completa cambio cableado medidor medidor tela medidor tablero ajusto conexionado entrada cambio tapa capilla chica, se realizo inspeccion completa se cambio cableado de medidor a medidor de tela y de medidor a tablero se ajusto conexionado de entrada se cambio tapa capilla chica,5,17
reparacion,se detecto medidor quemado. se retiro el mismo y se instalo XXXXXXXX funcionando normal.acometida normal se cambio tapa rectangular.,detecto medidor quemado retiro mismo instalo funcionando normal acometida normal cambio tapa rectangular, se detecto medidor quemado se retiro el mismo y se instalo funcionando normal acometida normal se cambio tapa rectangular ,1,13
seguridad,se verifico medidor monofasico n XXXXXXX con cables de medidor a tablero recalentado. se normalizo,verifico medidor monofasico con cables medidor tablero recalentado normalizo, se verifico medidor monofasico n con cables de medidor a tablero recalentado se normalizo,5,9
intrusion,se encontro memidor manipulado fase x fase,encontro memidor manipulado fase fase, se encontro memidor manipulado fase por fase,0,5
intrusion,"se verifico medidor monofasico sin precinto de carcasa y con el disco trabado,se procedio al cambio de medidor, tapa y termica",verifico medidor monofasico sin precinto carcasa con disco trabado procedio cambio medidor tapa termica, se verifico medidor monofasico sin precinto de carcasa y con el disco trabado se procedio al cambio de medidor tapa y termica,0,14
intrusion,verif.completa se verifica medidor con fraude fase a fase se corta puente y se deja normalizado,verifico completa verifico medidor con fraude fase fase corta puente deja normalizado, verifica completa se verifica medidor con fraude fase a fase se corta puente y se deja normalizado,0,12
reparacion,"se cambio medidor monofasico quemado, X tapas X termicas y se repararon ramales",cambio medidor monofasico quemado tapas termicas repararon ramales, se cambio medidor monofasico quemado tapas termicas y se repararon ramales,1,8
no_identificada,se cambio medidor monofasico.acometida,cambio medidor monofasico acometida, se cambio medidor monofasico acometida,7,4
reparacion,se verifico med sin anomalia se cambia medidor con bornera dañadas se coloca tapa ciega,verifico medidor sin anomalia cambio medidor con bornera dañadas coloca tapa ciega, se verifico medidor sin anomalia se cambia medidor con bornera dañadas se coloca tapa ciega,1,12
intrusion,se realizo insp completa se corto directo en habitaculo y se coloco tapa y termica,realizo inspeccion completa corto directo habitaculo coloco tapa termica, se realizo inspeccion completa se corto directo en habitaculo y se coloco tapa y termica,0,9
intrusion,verificacion completa cambio de tapa verificacion de funcionamiento retiro de conexion,verificacion completa cambio tapa verificacion funcionamiento retiro conexion, verificacion completa cambio de tapa verificacion de funcionamiento retiro de conexion,0,8
reparacion,cambio de medidor monofasico obsoleto. cambio de tapa rectangular chica,cambio medidor monofasico obsoleto cambio tapa rectangular chica, cambio de medidor monofasico obsoleto cambio de tapa rectangular chica,1,8
market,se rehabilito medidor desde bornera y se coloco tapa,rehabilito medidor desde bornera coloco tapa, se rehabilito medidor desde bornera y se coloco tapa,2,6
market,se rh medidor con ramal y cruce de calle,rehabilitado medidor con ramal cruce calle, se rehabilitado medidor con ramal y cruce de calle,2,6
intrusion,se realizo verificacion completa se coloco caja medidor monofasico se cambio acometida pelada se retiro conexion clandestina en habitaculo,realizo verificacion completa coloco caja medidor monofasico cambio acometida pelada retiro conexion clandestina habitaculo, se realizo verificacion completa se coloco caja medidor monofasico se cambio acometida pelada se retiro conexion clandestina en habitaculo,0,14
intrusion,"se realizo verificacion. cometa a dicho medidor y se encontro conexion derivada clandestina en caño de bajada.se realiza acta,se normalizo y se adecuo habitaculo,cliente normalizado.",realizo verificacion cometa dicho medidor encontro conexion derivada clandestina caño bajada realizo acta normalizo adecuo habitaculo cliente normalizado, se realizo verificacion cometa a dicho medidor y se encontro conexion derivada clandestina en caño de bajada se realiza acta se normalizo y se adecuo habitaculo cliente normalizado ,0,18
intrusion,se retiro directo de abitaculo se con una carga de X.XX amper coloco caja antiurto,retiro directo habitaculo con carga amper coloco caja antihurto, se retiro directo de habitaculo se con una carga de amper coloco caja antihurto,0,9
reparacion,se cambio medidor monofasico quemado con tapa y termica y se cambio tapa lindera nro XXXXXXX por seg y al nro XXXXXXX,cambio medidor monofasico quemado con tapa termica cambio tapa lindera numero seguridad numero, se cambio medidor monofasico quemado con tapa y termica y se cambio tapa lindera numero por seg y al numero ,1,15
reparacion,se verifica medidor se cambia medidor quemado en vornera se coloca medidor n XXXXXXXX cuadriya ,verifico medidor cambio medidor quemado vornera coloca medidor, se verifica medidor se cambia medidor quemado en vornera se coloca medidor n  ,1,8
reparacion,se cambio medidor monofasico quemado dos acometidas sin cruse dos cajas monopostes cables de cargas y termicas,cambio medidor monofasico quemado dos acometidas sin cruce dos cajas monopostes cables carga termicas, se cambio medidor monofasico quemado dos acometidas sin cruce dos cajas monopostes cables de cargas y termicas,1,14
market,se repuso medidor monofasico faltante en puntual.,repuso medidor monofasico faltante puntual, se repuso medidor monofasico faltante en puntual ,2,5
intrusion,directo .. se normaliza y coloca caja antihurto,directo normalizo coloca caja antihurto, directo se normaliza y coloca caja antihurto,0,5
reparacion,se observo medidor golpeado se le aplico carga externa funciona con error -XX.XX% se lo retiro al nro XXXXXXXX y se instalo el nro XXXXXXXX funciona normal. acometida normal se cambio tapa rectangular.,observo medidor golpeado aplico carga externa funciona con error retiro numero instalo numero funciona normal acometida normal cambio tapa rectangular, se observo medidor golpeado se le aplico carga externa funciona con error se lo retiro al numero y se instalo el numero funciona normal acometida normal se cambio tapa rectangular ,1,20
seguridad,"verificacion completa tX, cambio de acometida, colocacion de precintos en bornera, verificacion insitu, estado XXXXX/XXXXX.",verificacion completa cambio acometida colocacion precinto bornera verificacion sitio estado, verificacion completa t cambio de acometida colocacion de precintos en bornera verificacion en sitio estado ,5,10
intrusion,se cambia medidor numero XX XXXXX por faltar los precintos de seguridad se coloca medidor numero XXXX XXXX se coloca marco tapa ciega y termica unipolar.,cambio medidor numero faltar precinto seguridad coloca medidor numero coloca marco tapa ciega termica unipolar, se cambia medidor numero por faltar los precintos de seguridad se coloca medidor numero se coloca marco tapa ciega y termica unipolar ,0,15
intrusion,se verifico medidor. se normaliza servicio con retiro de fase a fase y cambio de acometida pinchada en pipeta cuadrilla XXX Y XXXXXX Y operativo villa rosa tX,verifico medidor normalizo servicio con retiro fase fase cambio acometida pinchada pipeta operativo villa, se verifico medidor se normaliza servicio con retiro de fase a fase y cambio de acometida pinchada en pipeta cuadrilla Y Y operativo X t ,0,14
seguridad,nombre:Y movil:XXX legajo ayudante:XXXXX operativo se cambio acometida empalmada,operativo cambio acometida empalmada, nombre Y movil legajo ayudante operativo se cambio acometida empalmada,5,4
intrusion,"medidor con puente fase a fase, se normalizo suministro y se labro acta",medidor con puente fase fase normalizo suministro labro acta, medidor con puente fase a fase se normalizo suministro y se labro acta,0,9
intrusion,se cambio medidor y retiramos directo de habitaculo,cambio medidor retiramos directo habitaculo, se cambio medidor y retiramos directo de habitaculo,0,5
intrusion,se cambia medidor sin precintos y se cambia tapa ¿ facica,cambio medidor sin precinto cambio tapa facica, se cambia medidor sin precintos y se cambia tapa facica,0,7
intrusion,se ccorto directo y se volvio a dejar suspendido,ccorto directo volvio dejar suspendido, se ccorto directo y se volvio a dejar suspendido,0,5
no_identificada,se cambio medidor monofasico. se realizo ramal.,cambio medidor monofasico realizo ramal, se cambio medidor monofasico se realizo ramal ,7,5
intrusion,cliente no quiere medidor por no tener trabajo se corto conexion directa,cliente no quiere medidor no tener trabajo corto conexion directo, cliente no quiere medidor por no tener trabajo se corto conexion directa,0,10
seguridad,c.XXX verificacion completa de tX cambio de tapa de habitaculo cambio de acometida s/cruce de calle verificacion de error en medidor,verificacion completa cambio tapa habitaculo cambio acometida cruce calle verificacion error medidor, c verificacion completa de t cambio de tapa de habitaculo cambio de acometida s cruce de calle verificacion de error en medidor,5,12
seguridad,se verifica medidor sin anomalias se instala caja antihurto y pipeta nueva,verifico medidor sin anomalia instala caja antihurto pipeta nueva, se verifica medidor sin anomalias se instala caja antihurto y pipeta nueva,5,9
reparacion,se cambio medidor quemado se reapro cables de medidor a medidor,cambio medidor quemado reapro cables medidor medidor, se cambio medidor quemado se reapro cables de medidor a medidor,1,7
reparacion,se cambio medidor monofasico quemado con acometida y termica,cambio medidor monofasico quemado con acometida termica, se cambio medidor monofasico quemado con acometida y termica,1,7
reparacion,se encontro medidor con el displey apagado. sin fraude. se normalizo cambiando dicho medidor colocando el n XXXXXXXX estado n XXXXXX y tapa trifasica.,encontro medidor con display apagado sin fraude normalizo cambiando dicho medidor colocando estado tapa trifasica, se encontro medidor con el display apagado sin fraude se normalizo cambiando dicho medidor colocando el n estado n y tapa trifasica ,1,15
market,suspendido por saldo,suspendido saldo, suspendido por saldo,2,2
intrusion,se retiro derivacion clandestina instalando caja derecha izquierda regularizando el suministro,retiro derivacion clandestina instalando caja derecha izquierda regularizando suministro, se retiro derivacion clandestina instalando caja derecha izquierda regularizando el suministro,0,9
seguridad,inspeccion  Y acompañante Y j XXXXX movil XXX seg. reposicion de termica de XX. cambio de acometida,inspeccion  seguridad reposicion termica cambio acometida, inspeccion  Y acompañante Y j movil seg reposicion de termica de cambio de acometida,5,9
reparacion,se verifico medidor golpeado se cambio se retiro acometida y se conecto a casa de toma,verifico medidor golpeado cambio retiro acometida conecto casa toma, se verifico medidor golpeado se cambio se retiro acometida y se conecto a casa de toma,1,9
seguridad,"medidor normal.conexionado deficiente,se normalizo con XXcm cable unipolar.prueba de comparacion normal.se cambio tapa.se coloco termica.",medidor normal conexionado deficiente normalizo con conexion manipulada cable unipolar prueba comparacion normal cambio tapa coloco termica, medidor normal conexionado deficiente se normalizo con conexion manipulada cable unipolar prueba de comparacion normal se cambio tapa se coloco termica ,5,17
intrusion,se encontro medidor en fase a fase se normaliza la suministro y se corta clandestino,encontro medidor fase fase normalizo suministro corta clandestina, se encontro medidor en fase a fase se normaliza la suministro y se corta clandestino,0,8
market,se coloco medidor trifasico por rh. se cambio tapa plastica. se cableo de toma a medidor.,coloco medidor trifasico rehabilitado cambio tapa plastica cableo toma medidor, se coloco medidor trifasico por rehabilitado se cambio tapa plastica se cableo de toma a medidor ,2,10
intrusion,se verifico medidor con estado XXXXXX con carga de Xa sin precinto de carcasa se deja precintado con doble cuño y se informa para normalizar con acta policial,verifico medidor con estado con carga sin precinto carcasa deja precintado con doble cuño informa normalizar con acta policial, se verifico medidor con estado con carga de a sin precinto de carcasa se deja precintado con doble cuño y se informa para normalizar con acta policial,0,19
market,se retira acometida bajo linea med no esta en abitaculo,retira acometida bajo linea medidor no esta habitaculo, se retira acometida bajo linea medidor no esta en habitaculo,2,8
intrusion,Se Encontró Cliente Directo En Bornera Monofasica. Se Retiró Conexión Clandestina. Se Colocó Caja Antihurto Y Termica. Se Precinto. Se Confeccionó Acta Por Fraude.,encontro cliente directo bornera monofasica retiro conexion clandestina coloco caja antihurto termica precinto confecciono acta fraude, se encontro cliente directo en bornera monofasica se retiro conexion clandestina se coloco caja antihurto y termica se precinto se confecciono acta por fraude ,0,16
reparacion,cambio de medidor (vidrio de pantalla suelto/obsoleto),cambio medidor vidrio pantalla suelto obsoleto, cambio de medidor vidrio de pantalla suelto obsoleto ,1,6
reparacion,se cambio medidor monofasico quemado termica de XX amp y de XX amp caja de monoposte cableado de medidor a tableros y salida de monoposte y acometida con cruse consentrico (mandar a conectar a poste de XXmts con hidro),cambio medidor monofasico quemado termica amperes amperes caja monoposte cableado medidor tableros salida monoposte acometida con cruce concentrico mandar conectar poste metros con hidrogrua, se cambio medidor monofasico quemado termica de amperes y de amperes caja de monoposte cableado de medidor a tableros y salida de monoposte y acometida con cruce concentrico mandar a conectar a poste de metros con hidro ,1,24
reparacion,se cambio medidor monofasico bornera quemada. se precinto medidor.,cambio medidor monofasico bornera quemada precinto medidor, se cambio medidor monofasico bornera quemada se precinto medidor ,1,7
no_identificada,carniceria con actividad,carniceria con actividad, carniceria con actividad,7,3
no_identificada,se normalizo iregularidades,normalizo iregularidades, se normalizo iregularidades,7,2
no_identificada,no se realizo comparacion d carga x que medidor no integraba. cambio d medidor trifasico. instalacion d termica faltante. cambio d tapas X trifasico y X monof.,no realizo comparacion carga medidor no integraba cambio medidor trifasico instalacion termica faltante cambio tapas trifasico monofasico, no se realizo comparacion d carga por que medidor no integraba cambio d medidor trifasico instalacion d termica faltante cambio d tapas trifasico y monofasico ,7,17
intrusion,se verifico encontraron X cables conectado en bornera fases de entrada no registrando consumo cargas X.XX amp y X.XX amp se retiro med por seg tu confecciono acta,verifico encontraron cables conectado bornera fase entrada no registrando consumo carga amperes amperes retiro medidor seguridad confecciono acta, se verifico encontraron cables conectado en bornera fases de entrada no registrando consumo cargas amperes y amperes se retiro medidor por seg tu confecciono acta,0,20
intrusion,"cambio de medidor monofasico con coneccion manipulada (puente) entre fase en bornera, cambio de tapa y termica unipolar, obsoletas.",cambio medidor monofasico con conexion manipulada puente fase bornera cambio tapa termica unipolar obsoletas, cambio de medidor monofasico con conexion manipulada puente entre fase en bornera cambio de tapa y termica unipolar obsoletas ,0,14
reparacion,se cambio med fase por bobina de fase X quemado .,cambio medidor fase bobina fase quemado, se cambio medidor fase por bobina de fase quemado ,1,6
reparacion,"colocado XXXXXXXX. medidor con display numerador averiado imposibilitando la toma de estado. se cambio medidor. se fijo y precinto. se cambio tapa recta grande. carga r X,X s X,X t X amp.",colocado medidor con display numerador averiado imposibilitando toma estado cambio medidor fijo precinto cambio tapa rectangular grande carga amperes, colocado medidor con display numerador averiado imposibilitando la toma de estado se cambio medidor se fijo y precinto se cambio tapa rectangular grande carga r s t amperes ,1,19
intrusion,se enconteo con los puentes de excitacion sueltos se normalizo y se realizo prueba de insitus,enconteo con puentes excitacion sueltos normalizo realizo prueba insitus, se enconteo con los puentes de excitacion sueltos se normalizo y se realizo prueba de insitus,0,9
intrusion,se corto directo de bornera se cambio medidor con presinto apocrifo se cambio tapa y termica de XXa.,corto directo bornera cambio medidor con presinto apocrifo cambio tapa termica, se corto directo de bornera se cambio medidor con presinto apocrifo se cambio tapa y termica de a ,0,11
intrusion,"se encontro en el lugar med XXXXXXX, se observo directo en habitaculo con una carga de X,XXamp. se elimino directo y se labro acta. se unio caja antihurto.",encontro lugar medidor observo directo habitaculo con carga amperes elimino directo labro acta unio caja antihurto, se encontro en el lugar medidor se observo directo en habitaculo con una carga de amperes se elimino directo y se labro acta se unio caja antihurto ,0,16
intrusion,se retira directo y se realiza acta . ver fotos,retira directo realizo acta ver foto, se retira directo y se realiza acta ver fotos,0,6
intrusion,se retiro directo de habitaculo. se verifico med error admisible. se cambio tapa de caja antihurto existente y termica de XxXXa. se adecuo conexionado y confecciono acta por fraude.,retiro directo habitaculo verifico medidor error admisible cambio tapa caja antihurto existente termica adecuo conexionado confecciono acta fraude, se retiro directo de habitaculo se verifico medidor error admisible se cambio tapa de caja antihurto existente y termica de por a se adecuo conexionado y confecciono acta por fraude ,0,18
reparacion,se cbia med x poseer error mayor al adm,cambio medidor poseer error mayor admisible, se cambia medidor por poseer error mayor al admisible,1,6
